Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
01100316,PLATE SPRING UPPER,,2.6,,,1.87,,5,5,BAJAJ,BAJAJ,,,,COM,,,,,,,,73201011,,,
01100342,BEARING BALL,,158,,,113.82,,1,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,84821020,,,
01100355,SEAL OIL MAGN SIDE,,26,,,18.73,,10,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,40169330,,,
01100610,KEY WOODRUFF MAGNETO,,5.8,,,4.18,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149990,,,
01100611,KEY WOODRUFF CLUTCH,,6.4,,,4.61,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149990,,,
01100612,WASHER FAN DISC,,3,,,2.16,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,73182990,,,
01100711,RING SHOULDER 1 TO 5,,29.2,,,21.04,,5,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
01100712,SHOULDER RING,,32,,,23.05,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
01100713,RING SHOULDER NO. 3,,34,,,24.49,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
01100714,RING SHOULDER NO. 4,,34,,,24.49,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
01100817,RING LOCK,,9.2,,,6.63,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,73201011,,,
01100818,WASHER BRASS,,9.4,,,6.77,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,74152100,,,
01100905,RING O,,1.4,,,1.01,,20,20,BAJAJ,BAJAJ,,,,COM,,,,,,,,40169320,,,
01101008,ROLLER,,0.4,,,0.29,,250,250,BAJAJ,BAJAJ,,,,COM,,,,,,,,84829120,,,
01101009,BEARING,,113,,,81.41,,1,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,84821011,,,
01101205,SPRING RETURN,,42,,,30.26,,10,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,73201011,,,
01110609,WASHER PLAIN,,0.52,,,0.37,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,73182200,,,
01160508,WASHER - LOCK,,2.61,,,1.88,,100,100,BAJAJ,BAJAJ,,,,COM,,,,,,,,73182990,,,
01160717,CLIP LOCK,,4.6,,,3.31,,50,50,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
01170110,BEARING BALL,,114,,,82.13,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,84821011,,,
01170111,BEARING BALL,,122,,,87.89,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,84821011,,,
01170122,RING - O,,1.5,,,1.08,,20,20,BAJAJ,BAJAJ,,,,2W,,,,,,,,40169320,,,
