Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
26214469,TVS REGULATOR,,844.49,,,679.90,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01104M06126,BOLT,,1.22,,,0.98,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01104M06166,BOLT,,2.29,,,1.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-06123,BOLT,,1.5,,,1.21,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-06163,BOLT (AT),,1.78,,,1.43,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-08166,BOLT,,4.94,,,3.98,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-10203,BOLT,,2.93,,,2.36,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-10253,BOLT,,29.91,,,24.08,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-10406,BOLT,,4.58,,,3.69,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107-12356,BOLT 12X35,,8.8,,,7.08,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01107M10406,BOLT,,4,,,3.22,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01114-06106,BOLT,,21.65,,,17.43,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01134M06126,BOLT RECEIVER BRACKET,,1.22,,,0.98,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01137-10166,BOLT,,57,,,45.89,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01187-08205,BOLT,,3.15,,,2.54,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01187M08253,BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01187M08303,BOLT,,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01411-06123,STUD BOLT,,3.5,,,2.82,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01411-06203,STUD 6X20,,17.53,,,14.11,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411-06206,STUD BOLT 6X20,,4,,,3.22,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411-08253,STUD BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411M0612A,STUD BOLT,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411M06203,STD BOLTFAN CLUTCH,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01411M0620A,BOLTINTAKE MANIFOLD STUD,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01411M06253,STUD BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411M0625A,BOLT,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411M0825A,BOLTINTAKE MANIFOLD STUD,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01411M0875A,STUD BOLT,,16,,,12.88,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421-06163,STUD BOLT,,3.5,,,2.82,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-0816A,BOLTEGR VALVE STUD,,55,,,44.28,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-08253,STUD BOLT,,4.28,,,3.45,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-0825A,BOLT,,46,,,37.03,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421-08303,STUD BOLT,,4.89,,,3.94,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-0860A,STUD BOLT,,57,,,45.89,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-1030A,STUD BOLT,,57,,,45.89,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421-10403,STUD BOLT,,4.96,,,3.99,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421-10503,STUD BOLTNO.2,,7.88,,,6.34,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421M0616A,BOLT,,2,,,1.61,,100,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M0620A,BOLT,,5,,,4.03,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421M0825A,BOLTSTUD,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421M0830A,BOLT,,6,,,4.83,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M0845A,BOLTACT & T/M CASE STUD,,9,,,7.25,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M0860A,BOLT INTK MANF TO HEAD STUD,,9,,,7.25,,50,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M1035A,STUD BOLT,,11,,,8.86,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M1040A,BOLTBLOCK & T/M CASE STUD 1,,13,,,10.47,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01421M10503,STUD BOLTNO.2,,12.5,,,10.06,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01421M1050A,BOLTBLOCK & T/M CASE STUD 2,,15,,,12.08,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500-06253,BOLT,,2,,,1.61,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M06103,BOLT (M6 X 14) OMNI,,7,,,5.64,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M06123,BOLT,,1,,,0.81,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M06163,BOLT,,2.29,,,1.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M06163A,BOLT,,2.29,,,1.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M06203,BOLT RECVR BKT.,,1.95,,,1.57,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M0625A,BOLT,,2,,,1.61,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01500M08163,BOLT,,1.38,,,1.11,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M0890A,BOLTENG MTG BRKT,,10,,,8.05,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01500M10253,BOLTRR. TORQUE STOPPER,,6,,,4.83,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01500M10403,BOLT,,3,,,2.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01514-08123,BOLT,,2.35,,,1.89,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01514-08166,BOLT,,4.13,,,3.33,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01514M06256,BOLT,,1.73,,,1.39,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01514M08356,BOLT,,2.93,,,2.36,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06103,BOLT,,21.65,,,17.43,,100,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06253,BOLT,,2.02,,,1.63,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06303,BOLT,,2.14,,,1.72,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06353,BOLT,,2.61,,,2.10,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06406,BOLT (6X40),,3.3,,,2.66,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-06603,BOLT,,3.3,,,2.66,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08163,BOLT,,19.09,,,15.37,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08203,BOLT,,2.62,,,2.11,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08306,BOLT,,5.66,,,4.56,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08353,BOLT,,3,,,2.42,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08403,BOLT,,3.53,,,2.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08506,BOLT 8X50,,3.87,,,3.12,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08556,BOLT,,10.83,,,8.72,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08606,BOLT 8X60,,4.77,,,3.84,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08806,BOLT 8X80,,12.39,,,9.98,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-08906,BOLT 8X90,,20.2,,,16.26,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-10255,.BOLT,,36.1,,,29.06,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01517-10606,.BOLT,,7.71,,,6.21,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01534-10553,BOLT,,46.02,,,37.05,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01537-06603,BOLT,,5.66,,,4.56,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01537-10653,BOLT,,41.41,,,33.34,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01537-10703,BOLT,,13.9,,,11.19,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01537-10753,BOLT,,14.28,,,11.50,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01537M06303,BOLT,,1.85,,,1.49,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0612A,BOLT,,49,,,39.45,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-06167,BOLT,,44,,,35.42,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0616A,SCREW,,46,,,37.03,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-06203,BOLT,,20.95,,,16.87,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0620C,BOLT,,59,,,47.50,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0625A,BOLT,,46,,,37.03,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-06453,BOLT EGR VALVE (A/T),,2.36,,,1.90,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0655A,BOLT,,40.5,,,32.61,,25,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0812A,BOLT,,50,,,40.26,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-0820A,BOLT,,53,,,42.67,,20,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-0825A,BOLT,,53,,,42.67,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-0835A,BOLT,,66,,,53.14,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-0840A,.BOLT,,41,,,33.01,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-0865A,BOLT,,70,,,56.36,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-08753,BOLT COMPRESSOR,,8,,,6.44,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1020A,BOLT,,60,,,48.31,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-10253,BOLT PWR STRG PUMP,,5.71,,,4.60,,20,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-10353,BOLT,,43.85,,,35.30,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1040C,BOLT,,76,,,61.19,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10453,BOLT,,57.58,,,46.36,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1045B,BOLT,,86,,,69.24,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10503,BOLT,,7.99,,,6.43,,50,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1060A,BOLT,,87,,,70.04,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1065A,BOLT,,89,,,71.65,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1070A,BOLT,,85,,,68.43,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1075A,BOLT,,88,,,70.85,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-10853,BOLT,,10.89,,,8.77,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1085A,BOLT,,88,,,70.85,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1095A,BOLTENG RR MTG BRKT BUSH,,65,,,52.33,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-12253,BOLT,,18.23,,,14.68,,10,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1240A,BOLTENG MTG BRKT RR TO T/M,,85,,,68.43,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1245A,BOLT,,86,,,69.24,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1255A,BOLTENG MTG BRKT RR TO T/M,,86,,,69.24,,10,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
01550-1265A,BOLT,,125,,,100.64,,1,,MGP,MARUTI,,,,,,,,,,,,87089900,,,
01550-1265B,BOLT,,106,,,85.34,,1,,MGP,MARUTI,,,,,,,,,,,,73181500,,,
