Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
265433407701,GASKET,, 15.00 ,5%,, 11.70 ,,EA,,TELCO,TATA,Sumo / Safari,,,,,,,,,,,45049000,,,
0001310050J,CONNECTING ROD BUSH,, 65.00 ,18%,, 50.68 ,,EA,,TELCO,TATA,Sumo / Safari,,,,,,,,,,,84833000,,,
1801865,OIL/WATER COOLER,," 2,896.00 ",18%,," 2,258.01 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0002610080J,ROTARY SHAFT SEAL,, 13.00 ,18%,, 10.14 ,,EA,,TELCO,TATA,,,,,,,,,,,,40169330,,,
0004230069J,BLEEDING SCREW W/O D CAP,, 69.00 ,18%,, 53.80 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0005450004J,CHANGEOVER SWITCH-BLACKOUT (HELLA),," 1,311.00 ",18%,," 1,022.19 ",,EA,,TELCO,TATA,,,,,,,,,,,,85365090,,,
0005890119J,PULLER / REFER DRG.0005890119,, 993.00 ,18%,, 774.24 ,,EA,,TELCO,TATA,Vista/Manza,,,,,,,,,,,82059090,,,
5890603,CROW FOOT SPANNER - 19 A/F,," 1,246.00 ",18%,, 971.51 ,,EA,,TELCO,TATA,,,,,,,,,,,,82059090,,,
5890753,ADJUSTABLE REAMER 34x39/STUB AXLE,, 829.00 ,18%,, 646.37 ,,EA,,TELCO,TATA,,,,,,,,,,,,82059090,,,
9819905,CONICAL ROLLER BEARING,, 362.00 ,18%,, 282.25 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
9941437,CIRCLIP,, 63.00 ,18%,, 49.12 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
9970506,SCREW PLUG OIL FILLING,, 28.00 ,18%,, 21.83 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0009971881J,RUBBER GROMMET,, 2.00 ,18%,, 1.56 ,,EA,,TELCO,TATA,,,,,,,,,,,,40169390,,,
69975446,SEAL CRANKSHAFT FRONT,, 296.00 ,18%,, 230.79 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
00SP1000870I,KIT_FUEL DAMPER HOSE_FAC H5BS6.2,, 37.00 ,18%,, 28.85 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0124290640J,PLATE,, 11.00 ,18%,, 8.58 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0124760036J,HOLDING PLATE,, 4.00 ,18%,, 3.12 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
250200056,GLOW PLUG 4DL,, 634.00 ,18%,, 494.33 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
250201005,GLOW PLUG QUICK START,, 586.00 ,18%,, 456.90 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
250201032,GLOW PLUG TC,, 490.00 ,18%,, 382.05 ,,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
258003300,HEATED LAMMB SENSOR MICO,," 3,849.00 ",18%,," 3,001.07 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
280142310,CANISTER PURGE VALVE,," 1,811.00 ",18%,," 1,412.04 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
330001015,SOLENOID SWITCH,," 1,675.00 ",18%,," 1,306.00 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
330001041,SOLENOID SWITCH,," 1,600.00 ",18%,," 1,247.52 ",,EA,,TELCO,TATA,,,,,,,,,,,,87089900,,,
0425830067J,HOLDER / REFER DRG NO0425830067,, 781.00 ,18%,, 608.95 ,,EA,,TELCO,TATA,,,,,,,,,,,,82059090,,,
