Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
MA2710M02920000200,M18 X 2.5 X 100 KNURLED WH BOLT & NUT,140.15,176.0284,AUTOMOVOTIVE PRICE LIST PARTS,200,103.71,2200,NaN,NaN,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
MA2720M02920000200,M18 X 2.5 X 110 KNURLED WH BOLT & NUT,144,180.864,AUTOMOVOTIVE PRICE LIST PARTS,200,106.56,1950,NaN,NaN,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
W04840W04850002500,M30x2.0x311 HEX BOLT 10.9 WITH NUT,1499.9,1883.8744,AUTOMOVOTIVE PRICE LIST PARTS,2500,1109.93,180,NaN,NaN,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A00941020-2600,M10X1.5X30 BOLT & NUT ASSY. NEW AF,9.25,11.618,Assembly starts with A&B,-2600,6.85,0,100,600,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A00941030-0200,M10X1.5X30 BOLT WITH SUNLOC NUT NAF,10.2,12.8112,Assembly starts with A&B,-200,7.55,0,100,300,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A01246020-2500,M16X1.5X80 RIM BOLT WITH M95070 NUT,58.25,73.162,Assembly starts with A&B,-2500,43.11,0,20,80,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A03835020-0200,M18 X 2.5 X 68 PLAIN HUB BOLT WITH NUT,132.45,166.3572,Assembly starts with A&B,-200,98.01,0,10,50,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A03854020-0200,M18 x 2.5 x 57 PLAIN HUB BOLT WITH NUT,132.45,166.3572,Assembly starts with A&B,-200,98.01,0,10,50,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A05483020-0200,M18 X 2.5 X 86 KNURLED WH BOLT & NUT,135.6,170.3136,Assembly starts with A&B,-200,100.34,0,50,50,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A06482020-0200,M10x1.5x100Collar Bolt+M10x1.5SlottedNut,52.95,66.5052,Assembly starts with A&B,-200,39.18,0,75,150,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A07500020-0200,12BSF X 2.281 BOLTS with nut,55,69.08,Assembly starts with A&B,-200,40.7,0,50,100,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A07520020-0200,12BSF X 1-78 BOLT WITH NUT,53.05,66.6308,Assembly starts with A&B,-200,39.26,0,75,150,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A07770030-0200,LEY JOINT BOLT WITH SUNLOCK NUT,32.8,41.1968,Assembly starts with A&B,-200,24.27,0,50,100,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A07929952-0200,PIVOT PIN ALONG WITH M99520 NUT,32.15,40.3804,Assembly starts with A&B,-200,23.79,0,0,0,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A0A5090020-0200,M22 X 2.5 X83 WHEEL BOLT & NUT ASSY,#N A,#N A,Assembly starts with A&B,-200,#N A,0,50,50,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A14210420-2600,716 BSF X 1.14 WITH NUT,18.05,22.6708,Assembly starts with A&B,-2600,13.36,0,50,300,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A14331020-0200,M14 X 1.5 X 70 COLLAR BOLT & CASTLE NUT,78.6,98.7216,Assembly starts with A&B,-200,58.16,0,20,60,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A14341020-0200,M14X1.5X100COLLAR BOLT & CASTLE NUT-AF,86.15,108.2044,Assembly starts with A&B,-200,63.75,0,20,60,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A14351020-0200,M14X1.5X110COLLAR BOLT CASTLENUT-NEW AF,94.95,119.2572,Assembly starts with A&B,-200,70.26,0,20,60,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A16220020-0200,"12 BSF X 2"" BOLT & NUT",33.45,42.0132,Assembly starts with A&B,-200,24.75,50,50,200,TVS,SFL,FR.HANGER BOLT 2”,,0,,,,,,,,,7318,Not Found,#N A,#N A
A17080229-0200,"716 UNFX2.34""-CONRODBOLT&716 UNF NUT",#N A,#N A,Assembly starts with A&B,-200,#N A,0,0,0,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
A18180218-0200,M27X1.5X82.5 TS BOLT WITH M02180 NUT,356.05,447.1988,Assembly starts with A&B,-200,263.48,0,10,10,TVS,SFL,,,0,,,,,,,,,7318,Not Found,#N A,#N A
